Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,RHR,RHR 1 Day,RHR Change,RHR 2 Day,RHR 3 Day,RHR 4 Day,Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
4/1/2018,"2,744","4,239",1.97,0,628,241,0,0,"1,007",58,57,-1,58,59,59,2018-03-31 10:13PM,2018-04-01 7:44AM,508,63,19,571,96,292,120
4/2/2018,"3,761","10,129",4.63,11,632,333,32,24,"2,097",57,58,1,59,59,58,2018-04-01 11:15PM,2018-04-02 6:14AM,376,43,15,419,120,177,79
4/3/2018,"3,328","8,009",3.72,0,700,287,5,8,"1,528",58,59,1,59,58,59,2018-04-02 10:13PM,2018-04-03 5:33AM,405,35,15,440,136,156,113
4/4/2018,"2,926","5,821",2.7,0,651,243,1,9,"1,133",59,59,0,58,59,61,2018-04-03 9:33PM,2018-04-04 6:29AM,483,53,19,536,125,235,123
4/5/2018,"3,249","7,763",3.6,0,608,308,7,0,"1,550",59,58,-1,59,61,61,2018-04-04 9:55PM,2018-04-05 6:33AM,465,52,23,517,105,273,87
4/6/2018,"3,055","6,942",3.22,32,738,221,1,10,"1,185",58,59,1,61,61,60,2018-04-05 10:37PM,2018-04-06 6:27AM,407,63,18,470,59,262,86
4/7/2018,"3,120","6,885",3.2,0,670,278,7,6,"1,371",59,61,2,61,60,61,2018-04-06 11:03PM,2018-04-07 7:02AM,433,46,17,479,121,236,76
4/8/2018,"2,814","5,302",2.46,0,704,228,0,0,"1,021",61,61,0,60,61,61,2018-04-07 10:17PM,2018-04-08 6:45AM,452,56,19,508,128,230,94
4/9/2018,"3,342","7,348",3.41,0,612,331,8,11,"1,675",61,60,-1,61,61,62,2018-04-08 10:12PM,2018-04-09 6:10AM,439,39,17,478,152,190,97
4/10/2018,"3,631","10,919",5.07,0,589,324,15,28,"1,925",60,61,1,61,62,60,2018-04-09 10:19PM,2018-04-10 6:24AM,424,60,15,484,122,211,91
4/11/2018,"3,586","10,964",5.09,5,532,402,3,18,"2,009",61,61,0,62,60,63,2018-04-10 10:16PM,2018-04-11 6:21AM,417,68,19,485,117,210,90
4/12/2018,"3,373","8,422",3.91,8,"1,081",349,2,8,"1,699",61,62,1,60,63,63,,,,,,,,,
